id,name,alias,collegeDataUrl,collegeDataId
2496,Northwest Missouri State University,,Northwest-Missouri-State-University,1776.0
1943,University of Saint Mary,University of St Mary University of Saint Mary,,
9630,University of Wisconsin--Oshkosh,University of Wisconsin Oshkosh,University-of-Wisconsin-Oshkosh,1701.0
2013,Louisiana State University--Shreveport,LSU Shreveport Louisiana State University Shreveport Louisiana State University Shreveport,Louisiana-State-University-Shreveport,1505.0
2946,Methodist University,,Methodist-University,1494.0
2705,The College of Saint Rose,College of St Rose College of Saint Rose,,
3259,Eastern University,,Eastern-University,832.0
2185,Framingham State University,,Framingham-State-University,412.0
1406,Southern Connecticut State University,,Southern-Connecticut-State-University,64.0
2842,SUNY Buffalo State,Buffalo State College SUNY Buffalo Buffalo State College SUNY,,
2190,Worcester State University,,Worcester-State-University,240.0
2994,Minot State University,,Minot-State-University,1116.0
3899,University of Wisconsin--Green Bay,University of Wisconsin Green Bay,University-of-Wisconsin-Green-Bay,1705.0
1800,Grace College and Seminary,,,
1812,Purdue University--Fort Wayne,Indiana University-Purdue University Fort Wayne Indiana University Purdue University Fort Wayne IU IPFW,,
1915,Fort Hays State University,,Fort-Hays-State-University,722.0
1805,Indiana Tech,Indiana Tech,,
3465,Mount Marty University,,,
2512,Stephens College,,Stephens-College,1737.0
2599,Centenary University,,Centenary-University,218.0
2072,Frostburg State University,,Frostburg-State-University,1498.0
2608,Georgian Court University,,Georgian-Court-University,833.0
3323,Lock Haven University of Pennsylvania,,Lock-Haven-University-of-Pennsylvania,430.0
2102,University of Baltimore,,University-of-Baltimore,493.0
1811,Indiana University East,,Indiana-University-East,1237.0
3861,Marian University (WI),,,
1939,Newman University,,Newman-University,667.0
666998,Purdue University--Northwest,,Purdue-University-Northwest,1793.0
2314,Saginaw Valley State University,,Saginaw-Valley-State-University,1797.0
9235,Clarion University of Pennsylvania,,Clarion-University-of-Pennsylvania,228.0
2158,Lasell University,,,
